"SECTION: TOP PENYAKIT UMUM"
Peringkat,"Kode Penyakit","Nama Penyakit","Jumlah Kasus"
1,A01,"Demam Tifoid",12
2,B02,Varisela,10
3,A02,Paratifoid,8

"SECTION: TOP PENYAKIT PER KECAMATAN"
Kecamatan,Peringkat,"Kode Penyakit","Nama Penyakit","Jumlah Kasus"
"Semarang Tengah",1,A01,"Demam Tifoid",12
"Semarang Tengah",2,A02,Paratifoid,8
"Semarang Utara",1,B02,Varisela,10

"SECTION: TOP PENYAKIT PER PUSKESMAS"
Puskesmas,Peringkat,"Kode Penyakit","Nama Penyakit","Jumlah Kasus"
"Puskesmas Miroto",1,A01,"Demam Tifoid",12
"Puskesmas Poncol",1,A02,Paratifoid,8
"Puskesmas Bandarharjo",1,B02,Varisela,10
